uuid,name,path,link,num_products,date_updated,products_scraped,required,emissions_condition,emissions_default,temp_controlled
f68cdf0a-141c-4768-aaab-9b305b2cd83d,"Duck, game & venison","Meat & fish>Duck, game & venison",https://www.sainsburys.co.uk/shop/gb/groceries/meat-fish/duck--game---venison,0,19/08/2021,0,1,,,1
5a5f89f2-a9e9-46dd-a297-ecb4280b88cb,Meat free,Meat & fish>Meat free,https://www.sainsburys.co.uk/shop/gb/groceries/meat-fish/meat-free-,0,19/08/2021,0,1,,,
2fe90a55-a266-4517-8373-feec6e6edf3c,Yorkshire puddings & roast accompaniments,Meat & fish>Yorkshire puddings & roast accompaniments,https://www.sainsburys.co.uk/shop/gb/groceries/meat-fish/roast-accompaniments,0,19/08/2021,0,1,,,1
a6260039-41e9-432d-9a80-1c53afbb6147,Special offers (valid for deliveries until 31st August),Meat & fish>Special offers (valid for deliveries until 31st August),https://www.sainsburys.co.uk/shop/gb/groceries/meat-fish/special-offers-314361-44,0,19/08/2021,0,1,,,
7658085d-f546-4faa-bc62-edf701098c68,Dairy & chilled essentials,"Dairy, eggs & chilled>Dairy & chilled essentials",https://www.sainsburys.co.uk/shop/gb/groceries/dairy-eggs-and-chilled/dairy-and-chilled-essentials,0,19/08/2021,0,1,,,1
fa3a0898-475f-45fc-b2f9-bbd5b361c154,Dine in meal deal for two,"Dairy, eggs & chilled>Dine in meal deal for two",/shop/gb/groceries/new---trending/taste-the-difference-meal-deal-,0,19/08/2021,0,1,,,
74cf7659-caf0-4c73-80fc-9e827336d064,Fresh soup,"Dairy, eggs & chilled>Fresh soup",https://www.sainsburys.co.uk/shop/gb/groceries/dairy-eggs-and-chilled/fresh-soup,0,19/08/2021,0,1,,,1
98f6400e-cf31-432c-b352-01a86784e3b6,New,"Dairy, eggs & chilled>New",https://www.sainsburys.co.uk/shop/gb/groceries/dairy-eggs-and-chilled/dairy-chilled-new,0,19/08/2021,0,1,,,
660e554a-1aab-4a3f-b338-05c30499b555,Special offers,"Dairy, eggs & chilled>Special offers",https://www.sainsburys.co.uk/shop/gb/groceries/dairy-eggs-and-chilled/dairy-eggs-chilled-special-offers,0,19/08/2021,0,1,,,
83ed85b4-af94-49cb-a498-01362a8d7f69,Price Lock,Bakery>Price Lock,/shop/gb/groceries/price-lock-/price-lock-bakery,0,19/08/2021,0,1,,,
b756e108-d306-4826-bd8b-9b77560f7594,Bakery essentials,Bakery>Bakery essentials,https://www.sainsburys.co.uk/shop/gb/groceries/bakery/bakery-essentials,0,19/08/2021,0,1,,,
c07f689d-2e0a-4ba9-96c4-3884fe8342f7,Taste The Difference,Bakery>Taste The Difference,https://www.sainsburys.co.uk/shop/gb/groceries/bakery/taste-the-difference-502858-44,0,19/08/2021,0,1,,,
13d89f6b-6920-40d2-88ed-722dc08fe49e,Birthday & party cakes,Bakery>Birthday & party cakes,https://www.sainsburys.co.uk/shop/gb/groceries/bakery/birthday-and-party-cakes,0,19/08/2021,0,1,,,
191460f9-acd7-4b16-843c-1382ecc3f606,New,Bakery>New,https://www.sainsburys.co.uk/shop/gb/groceries/bakery/bakery-new,0,19/08/2021,0,1,,,
04ddf52d-629b-4fde-96ec-1a3f592ac20d,Special offers,Bakery>Special offers,https://www.sainsburys.co.uk/shop/gb/groceries/bakery/bakery-special-offers,0,19/08/2021,0,1,,,
3fe90ae0-c6ed-4006-9340-a056ed7fdbc6,Price Lock,Frozen>Price Lock,/shop/gb/groceries/price-lock-/fridge-and-freezer#langId=44&storeId=10151&catalogId=10059&categoryId=523855&parent_category_rn=488855&top_category=488855&pageSize=60&orderBy=FAVOURITES_ONLY%7CSEQUENCING%7CTOP_SELLERS&searchTerm=&beginIndex=0&hideFilters=true&facet=4294951637,0,19/08/2021,0,1,,,1
a67d4b10-6591-4ea6-8f57-ba155b491124,Frozen essentials,Frozen>Frozen essentials,https://www.sainsburys.co.uk/shop/gb/groceries/frozen-/frozen-essentials,0,19/08/2021,0,1,,,1
f2d542e6-ba1f-41b0-b8de-cede4d0bfb62,Vegan,Frozen>Vegan,https://www.sainsburys.co.uk/shop/gb/groceries/frozen-/frozen-vegan,0,19/08/2021,0,1,,,1
a837707c-620a-4898-9881-88eafc05e1a7,Yorkshire puddings & roast accompaniments,Frozen>Yorkshire puddings & roast accompaniments,https://www.sainsburys.co.uk/shop/gb/groceries/frozen-/yorkshire-puddings-and-roast-accompaniments-,0,19/08/2021,0,1,,,1
8f791f55-1c46-4483-8e6b-5824eca90439,Special offers,Frozen>Special offers,https://www.sainsburys.co.uk/shop/gb/groceries/frozen-/frozen-special-offers,0,19/08/2021,0,1,,,1
e17cd84b-1120-4131-a88b-41c9b7dd886e,Price Lock,Food cupboard>Price Lock,/shop/gb/groceries/price-lock-/price-lock-food-cupboard,0,19/08/2021,0,1,,,0
4a2147e0-74b0-46ab-b7a8-9060db444c8c,Food cupboard essentials,Food cupboard>Food cupboard essentials,/shop/gb/groceries/food-cupboard/food-cupboard-essentials,0,19/08/2021,0,1,,,0
1f73010d-5831-402d-9a27-70cd7cf45ded,Price Lock,Drinks>Price Lock,/shop/gb/groceries/price-lock-/price-lock-drinks,0,19/08/2021,0,1,,,0
066986ad-706d-4b59-878d-e6a667fb802e,Taste the difference,Drinks>Taste the difference,https://www.sainsburys.co.uk/shop/gb/groceries/drinks/taste-the-difference-506368-44,0,19/08/2021,0,1,,,-
acb8eb29-892f-4afe-8abd-77831cdc094e,Kids & lunchbox,Drinks>Kids & lunchbox,https://www.sainsburys.co.uk/shop/gb/groceries/drinks/kids-lunchbox,0,19/08/2021,0,1,,,-
0ef81ace-129e-4e81-ba40-9bb422b6bb06,Special offers,Drinks>Special offers,https://www.sainsburys.co.uk/shop/gb/groceries/drinks/drinks-special-offers,0,19/08/2021,0,1,,,-
20c8ed19-83d1-4ca0-a5e3-d8d12f4d3092,Anti-bacterial,Household>Anti-bacterial,https://www.sainsburys.co.uk/shop/gb/groceries/household/anti-bacterial-,0,19/08/2021,0,1,,,
06d57893-9007-44ae-8a9d-32c480edd810,Price Lock,Household>Price Lock,/shop/gb/groceries/price-lock-/price-lock-household,0,19/08/2021,0,1,,,
9e6dfdec-46fd-4f17-85df-e9806e1f9528,"Foil, food bags & storage","Household>Foil, food bags & storage",https://www.sainsburys.co.uk/shop/gb/groceries/household/foil-food-bags-storage,0,19/08/2021,0,1,,,
a12645e9-afd3-48af-a52c-38b4dc52b9f4,Household bigger packs,Household>Household bigger packs,https://www.sainsburys.co.uk/shop/gb/groceries/household/household-bigger-packs,0,19/08/2021,0,1,,,
a7ad71b4-fbea-4a4c-b48e-904778ea3b7b,Top rated products,Household>Top rated products,https://www.sainsburys.co.uk/shop/gb/groceries/household/top-rated,0,19/08/2021,0,1,,,
